Advertiser ID,Advertiser Name,Primary Region,Membership Status,Datafeed Format,Feed ID,Feed Name,Language,Vertical,Last Imported,Last Checked,No of products,URL
"78586","Needs No Label","GB","Not Joined","Google","F94","","English","Retail","2026-07-12 13:25:11","2026-07-12 13:25:11","918","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F94.csv.gz"
"115783","Horow DE","DE","Not Joined","Google","F123","","German","Retail","2025-12-18 06:55:23","2025-12-18 06:55:23","293","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F123.csv.gz"
"115879","Super Genius Society","US","Not Joined","Google","F128","","English","Retail","2026-07-12 14:09:39","2026-07-12 14:09:39","126","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F128.csv.gz"
"69790","Doulton","GB","Not Joined","Google","F153","","English","Retail","2026-07-12 14:14:09","2026-07-12 14:14:09","73","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F153.csv.gz"
"115070","Foreverlyfe","US","Not Joined","Google","F167","","English","Retail","2026-05-16 17:45:17","2026-05-16 17:45:17","31","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F167.csv.gz"
"86627","GreatBeanBags.com","US","Not Joined","Google","F174","","English","Retail","2025-06-24 22:41:25","2025-06-24 22:41:25","215","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F174.csv.gz"
"29549","BINU-Beauty Natural Korean Cosmetics DE","DE","Not Joined","Google","F182","","German","Retail","2026-07-12 15:25:51","2026-07-12 15:25:51","28","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F182.csv.gz"
"61655","Back to the Office","GB","Not Joined","Google","F197","","English","Retail","2026-07-12 11:54:18","2026-07-12 11:54:18","100139","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F197.csv.gz"
"116527","DXB CHOC","GB","Not Joined","Google","F199","","English","Retail","2026-05-06 06:32:41","2026-05-06 06:32:41","6","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F199.csv.gz"
"116665","isletan","US","Not Joined","Google","F206","","English","Retail","2026-07-12 15:50:55","2026-07-12 15:50:55","11","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F206.csv.gz"
